ZONES,PERIOD,standard_load_addition,daily_shiftable_load_addition,annual_shiftable_load_addition,annual_shiftable_load_min_cf,baseload_load_addition
BD00,2030,-0.5,0.15,0.1,0.35,0.25
BD01,2030,-0.5,0.15,0.1,0.35,0.25
BD02,2030,-0.5,0.15,0.1,0.35,0.25
BD03,2030,-0.5,0.15,0.1,0.35,0.25
BD04,2030,-0.5,0.15,0.1,0.35,0.25
BD05,2030,-0.5,0.15,0.1,0.35,0.25
BD06,2030,-0.5,0.15,0.1,0.35,0.25
BD07,2030,-0.5,0.15,0.1,0.35,0.25
BD08,2030,-0.5,0.15,0.1,0.35,0.25
BD09,2030,-0.5,0.15,0.1,0.35,0.25
